Faixa Etaria,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez,Total
Em branco/IGN,1,4,14,16,22,9,10,4,2,2,-,5,89
<1 Ano,61,120,336,459,649,473,322,202,123,81,92,67,2985
1-4,97,252,738,964,1249,812,496,307,197,131,134,89,5466
5-9,172,455,1267,1745,2366,1542,948,594,304,186,148,148,9875
10-14,216,611,1477,2235,3025,2010,974,816,333,210,179,147,12233
15-19,233,570,1526,2361,3325,2285,1293,871,450,262,238,205,13619
20-39,1613,3467,8738,12635,18309,13652,8375,5559,2643,1532,1345,1111,78979
40-59,1382,3187,7974,11392,15760,11269,7103,4471,2104,1110,920,859,67531
60-64,175,499,1259,1786,2336,1724,1013,723,304,173,132,137,10261
65-69,143,364,1036,1355,1805,1267,768,494,271,127,84,113,7827
70-79,171,483,1355,1863,2290,1608,915,605,279,135,137,167,10008
80 e +,70,200,569,814,970,660,347,237,115,60,47,56,4145
Total,4334,10212,26289,37625,52106,37311,22564,14883,7125,4009,3456,3104,223018
